x lostAtTime(x) CI/2 
0.0 0.0 0.0 
5.0 20.26891747052519 0.24986379580664667 
10.0 45.208333333333336 0.24983543011134585 
15.0 70.15191893057353 NaN 
20.0 95.11011211729193 NaN 
25.0 119.99752048296679 NaN 
30.0 144.86170763260026 NaN 
35.0 169.6999137559293 NaN 
40.0 194.70799913755928 NaN 
45.0 219.70291073738682 NaN 
50.0 244.61893057352307 NaN 
55.0 269.5267356619232 NaN 
60.0 294.4154161276412 NaN 
65.0 319.3135834411384 NaN 
70.0 344.0900819318672 NaN 
75.0 368.9977360931436 NaN 
80.0 393.9388960758948 NaN 
85.0 418.84691677447177 NaN 
90.0 443.92468736524364 NaN 
95.0 468.9417852522639 NaN 
100.0 493.86683915480813 NaN 
